"AFA","Afghanistan","Afghani (AFA)"
"ALL","Albania","Lek (ALL)"  
"DZD","Algeria","Algerian Dinar (DZD)"
"ESP","Amercian Samoa","Spanish Peseta (ESP)"
"USD","America (United States of America)","US Dollar (USD)"
"USD","American Samoa","US Dollar (USD)"
"USD","American Virgin Islands","US Dollar (USD)"
"FRF","Andorra","French Franc (FRF)"
"ESP","Andorra","Spanish Peseta (ESP)"
"AON","Angola","New Kwanza (AON)"
"XCD","Anguilla","East Caribbean Dollar (XCD)"
"XCD","Antigua and Barbuda","East Caribbean Dollar (XCD)"
"ARP","Argentina","Peso (ARP)"
"AMD","Armenia","Dram (AMD)"
"AWF","Aruba","Florin (AWF)"
"ANG","Aruba","Netherlands Antilles Guilder (ANG)"
"AUD","Australia","Dollar (AUD)"
"ATS","Austria","Schilling (ATS)"
"AZM","Azerbaijan","Manat (AZM)"
"PTE","Azores","Portuguese Escudo (PTE)"
"BSD","Bahamas","Dollar (BSD)"
"BHD","Bahrain","Dinar (BHD)"
"ESP","Baleares (Balearic Islands)","Spanish Peseta (ESP)"
"BDT","Bangladesh","Taka (BDT)"
"BBD","Barbados","Dollar (BBD)"
"XCD","Barbuda and Antigua","East Caribbean Dollar (XCD)"
"BYR","Belarus","Ruble (BYR)"
"BEF","Belgium","Franc (BEF)"
"BZD","Belize","Dollar (BZD)"
"XOF","Benin","CFA Franc BCEAO (XOF)"
"BMD","Bermuda","Dollar (BMD)"
"INR","Bhutan","Indian Rupee (INR)"
"BTR","Bhutan","Rupee (BTR)"
"BOB","Bolivia","Boliviano (BOB)"
"ANG","Bonaire","Netherlands Antilles Guilder (ANG)"
"BAK","Bosnia and Herzegovina","Convertible Mark (BAK)"
"BWP","Botswana","Pula (BWP)"
"NOK","Bouvet Island","Norwegian Krone (NOK)"
"BRL","Brazil","Brazilian Real (BRL)"
"GBP","Britain (Great Britain)","Pound Sterling (GBP)"
"USD","British Indian Ocean Territory","US Dollar (USD)"
"USD","British Virgin Islands","US Dollar (USD)"
